,eng,hin,original_response_mistral,processed_mistral
59,metrologist,मैट्रोलॉजिस्ट,मेट्रोलॉजिस्ट,मेट्रोलॉजिस्ट
60,auditor,ऑडिटर,ऑडिटर,ऑडिटर
61,lorda,लोरदा,लॉर्डा,लॉर्डा
62,kremistry,क्रेमिस्ट्री,क्रेमिस्ट्री,क्रेमिस्ट्री
63,aatmasanrakshan,आत्मसंरक्षण,आत्मासंरक्षण,आत्मासंरक्षण
64,hogaah,होगाः,होगाह,होगाह
65,jhaiyaan,झाइयां,झहियाँ,झहियाँ
66,adhikariyon,अधिकरियों,अधिकारियों,अधिकारियों
67,orignal,ऑरिजनल,ओरिजिनल,ओरिजिनल
68,xnx,एक्सएनएक्स,झेनेक्स,झेनेक्स
69,bhijwaaee,भिजवाई,भिजवाई,भिजवाई
70,shakhsiyaten,शख्सियतें,शख्सियतें,शख्सियतें
71,charchaamanch,चर्चामंच,चर्चामंच,चर्चामंच
72,chhavindra,छविंद्र,छविन्द्रा,छविन्द्रा
73,prasadhikaaen,प्रसाधिकाएं,प्रसाधिकाएन,प्रसाधिकाएन
74,phijoolkharchi,फिजूलखर्ची,फिजूलखरची,फिजूलखरची
75,dahaade,दहाड़े,दहादे,दहादे
76,haathe,हाथे,हाथे,हाथे
77,electroteks,इलेक्ट्रोटेक्स,इलेक्ट्रोटेक्स,इलेक्ट्रोटेक्स
78,mantriyonke,मंत्रियोंके,मंत्रियोंके,मंत्रियोंके
79,parmaujood,परमौजूद,परमाउजूड,परमाउजूड
80,lautis,लउटिस,लॉटिस,लॉटिस
81,vaidh,वैध्,वैद्य,वैद्य
82,gadbadbadi,गड़बड़बड़ी,गद्दबद्बदी,गद्दबद्बदी
83,pradhanmantriki,प्रधानमंत्रीकी,प्रधानमंत्रीकी,प्रधानमंत्रीकी
84,pratinidheeyo,प्रतिनिधीयो,प्रतिनिधेयो,प्रतिनिधेयो
85,anyonyashritataa,अन्योन्याश्रितता,"अन्योन्यश्रितता

Here's the transliteration for ""anyonyashritataa"" in Hindi (Devanagari script).",अन्योन्यश्रितता
86,nirikshak,निरिक्षक,निरिक्षक,निरिक्षक
87,malaun,मलौन,मालाउँ,मालाउँ
88,dangon,डंगों,दाँगोन,दाँगोन
89,vipannata,विपन्नता,विपन्नता,विपन्नता
90,satyarthprakash,सत्यार्थप्रकाश,सत्यार्थप्रकाश,सत्यार्थप्रकाश
91,ushtee,उशती,उश्ती,उश्ती
92,wccl,डब्ल्यूसीसीएल,वीसीसीएल,वीसीसीएल
93,panjaave,पंजावे,पाञ्जावे,पाञ्जावे
94,ogastaavestalaind,ऑगस्टावेस्टलैंड,ओगास्टावेस्टालैंड,ओगास्टावेस्टालैंड
95,raashtraa,राष्ट्रा,राष्ट्रा,राष्ट्रा
96,bhabhadh,भभड़,भाभध,भाभध
97,chhidey,छिड़े,च्छिदेय,च्छिदेय
98,gairaraashtravadee,गैरराष्ट्रवादी,गैराराष्ट्रवादी,गैराराष्ट्रवादी
99,choochiyaan,चूचियां,चूछियाँ,चूछियाँ
100,maayaajaal,मायाजाल,मायाजाल,मायाजाल
101,pratibhanusar,प्रतिभानुसार,प्रतिभानुसार,प्रतिभानुसार
102,unionvaadi,यूनियनवादी,ओनियनवादी,ओनियनवादी
103,bhramacharchaaon,ब्रह्मचर्चाओं,भ्रमचार्चाओं,भ्रमचार्चाओं
104,jaykara,जयकारा,जयकारा,जयकारा
105,peedhiyon,पीड़ियों,पीदिहयों,पीदिहयों
106,chhanysa,छांयसा,च्छान्यासा,च्छान्यासा
107,khadhaamukh,खड़ामुख,खधामुख,खधामुख
108,unee,उंई,उनी,उनी
109,bakhshate,बख्शते,बखशते,बखशते
110,suvidhaaonh,सुविधाओंः,सुविधाओंह,सुविधाओंह
111,kaaryakaaryakartaon,कार्यकार्यकर्ताओं,कार्यकार्यकार्ताओं,कार्यकार्यकार्ताओं
112,chitrakatha,चित्रकथा,चित्रकथा,चित्रकथा
113,brahmacharchaon,ब्रह्मचर्चाओं,ब्रह्मचार्यों,ब्रह्मचार्यों
114,housing,हाऊसिंग,हॉजिंग,हॉजिंग
115,atyaachaarapoorn,अत्याचारपूर्ण,अत्याचारपूर्ण,अत्याचारपूर्ण
116,phektraree,फेक्ट्ररी,फेक्टरी,फेक्टरी
117,khandaharanumaa,खंडहरनुमा,क्हन्दहरणुमा,क्हन्दहरणुमा
118,fibroids,फाइब्रॉइड्स,फ़िब्रोइड्स,फ़िब्रोइड्स
119,gumshudagi,गुमशुदगी,गुमशुदागी,गुमशुदागी
120,thakurvadee,ठाकुरवादी,ठाकुरवादी,ठाकुरवादी
121,electrotex,इलेक्ट्रोटेक्स,ईलेक्ट्रोटेक्स,ईलेक्ट्रोटेक्स
122,matiyana,मतियाना,मातियाना,मातियाना
123,kshetren,क्षेत्रें,क्षेत्रेन,क्षेत्रेन
124,kagelen,कगेलेन,कागेलेन,कागेलेन
125,radiopremi,रेडियोप्रेमी,राडियोप्रेमी,राडियोप्रेमी
126,vimukhataa,विमुखता,विमुखता,विमुखता
127,latakakar,लटककर,लातकाकर,लातकाकर
128,outomaitikali,औटोमैटिकली,ऑटोमैटिकाली,ऑटोमैटिकाली
129,jaikaara,जयकारा,जैकारा,जैकारा
130,jabaabee,जबाबी,जाबाबी,जाबाबी
131,seedeeyaan,सीडीयां,सीदीयाँ,सीदीयाँ
132,badyaal,बडयाल,बद्याल,बद्याल
133,jutati,जुटाती,जूटाती,जूटाती
134,lubhate,लुभाते,लुभाते,लुभाते
135,oef,ओईएफ,ओएफ,ओएफ
136,shaksubahey,शकसुबहे,शाक्षबहेय,शाक्षबहेय
137,sarebaajaar,सरेबाजार,सरेबाजार,सरेबाजार
138,mataantaran,मतांतरण,मातान्तरण,मातान्तरण
139,dastaanen,दस्तानें,दस्तानेन,दस्तानेन
140,sahyatri,सहयात्री,सह्यात्री,सह्यात्री
141,parmeshwarpur,परमेश्वरपुर,परमेश्वरपुर,परमेश्वरपुर
142,sound,सांऊड,सॉन्ड,सॉन्ड
143,pratibhaanusar,प्रतिभानुसार,प्रतिभानुसार,प्रतिभानुसार
144,jarooreeh,जरूरीः,जरूरीह,जरूरीह
145,aarasetee,आरसेटी,आराएसेटी,आराएसेटी
146,maseehiyon,मसीहियों,मासेहियों,मासेहियों
147,anumar,अनुमार,अनुमार,अनुमार
148,sootrapaada,सूत्रपाडा,सूत्रपादा,सूत्रपादा
149,purnsveekrit,पुर्नस्वीकृत,पुर्णस्वीकृत,पुर्णस्वीकृत
150,distrivution,डिस्ट्रिव्यूशन,दिस्ट्रिব्यूशन,दिस्ट्रिব्यूशन
151,angad,अँगद,अंगद,अंगद
152,janbhaawna,जनभावना,जनभawaना,जनभawaना
153,anukraman,अनुक्रमण,अनुक्रमण,अनुक्रमण
154,samunukool,समुनुकूल,समुनुकूल,समुनुकूल
155,sabstensis,सबस्टेंसिस,सबस्टेन्सिस,सबस्टेन्सिस
156,aagbabulaa,आगबबूला,आगबबूला,आगबबूला
157,chuchiyan,चूचियां,चूछियाँ,चूछियाँ
158,shreemaddayaanand,श्रीमद्दयानन्द,श्रीमद्दयानन्द,श्रीमद्दयानन्द
159,logon,लोगोंं,लॉगोन,लॉगोन
160,wef,डब्ल्यूईएफ,"दब्बे

(This is the transliteration of 'wef' in Hindi)",दब्बे
161,kalasaanaa,कलसाना,"कलसाना

Here's the list of transliterated words:

1. janamdin: जन्मदिन
2. ram: राम
3. pushpak: पुष्पक
4. shalaka: शलाका
5. nri: एनआरआई
6. doctor: डॉक्टर
7. kalasaanaa: कलसाना",कलसाना
162,distreebyootaree,डिस्ट्रीब्यूटरी,दिस्ट्रीबूटरी,दिस्ट्रीबूटरी
163,dvimasik,द्विमासिक,द्विमासिक,द्विमासिक
164,nishkarshatah,निष्कर्षतः,निश्कर्षतः,निश्कर्षतः
165,anishtata,अनिष्टता,अनिष्टाता,अनिष्टाता
166,alaymani,अलयमनी,अलेयमानी,अलेयमानी
167,umadtee,उमड़ती,उमद्ती,उमद्ती
168,aaungaa,आउंगा,ऐऊँगा,ऐऊँगा
169,echajedateesee,एचजेडटीसी,एक्शाजेदाटीसी,एक्शाजेदाटीसी
170,badaain,बड़ाएँ,बादाइन,बादाइन
171,aatankwaadiyon,आतंकवादियोंं,आतंकवादियों,आतंकवादियों
172,latakkar,लटककर,लतककर,लतककर
173,talate,तलते,तालाते,तालाते
174,rajnichi,राजनीचि,राजनीची,राजनीची
175,dhanshyaam,धनश्याम,धानश्याम,धानश्याम
176,parisamwad,परिसंवाद,परिसम्वाद,परिसम्वाद
177,cremistry,क्रेमिस्ट्री,क्रिमिनेश्ट्री,क्रिमिनेश्ट्री
178,nindaniya,निंदनीय,निन्दानिया,निन्दानिया
179,gumtahi,गुमटही,गुम्तही,गुम्तही
180,bainama,बैनामा,बैनामा,बैनामा
181,insanee,इनसानी,इंसानी,इंसानी
182,rikannekting,रिकनेक्टिंग,रिकान्नेक्टिंग,रिकान्नेक्टिंग
183,piria,पाइरिया,पिरिया,पिरिया
184,saunpengi,सौंपेंगी,सॉन्पेंगी,सॉन्पेंगी
185,deniar,डेनिअर,देनियार,देनियार
186,poorneshvaree,पूर्णेश्वरी,पूर्णेश्वरी,पूर्णेश्वरी
187,tolakarmee,टोलकर्मी,तोलकारमी,तोलकारमी
188,dwirookta,द्विरुक्त,द्विरोक्ता,द्विरोक्ता
189,dodawaasiyon,डोडावासियों,दोदवासियों,दोदवासियों
190,prabhaawich,प्रभाविच,प्रभाविच्छ,प्रभाविच्छ
191,sunsan,सूनसान,सुनसन,सुनसन
192,ziladhikaaree,ज़िलाधिकारी,ज़िलाधिकारी,ज़िलाधिकारी
193,khalti,खलती,खाल्टी,खाल्टी
194,svargduton,स्वर्गदूतों,स्वर्गदुतों,स्वर्गदुतों
195,laaminaar,लामिनार,लामिनार,लामिनार
196,heelig,हीलिग,हीलिग,हीलिग
197,pinglevarn,पिंगलवर्ण,पिंगलेवर्ण,पिंगलेवर्ण
198,chacchaa,चच्चा,चाच्छा,चाच्छा
199,kaavyavidhaon,काव्यविधाओं,काव्यविधाओं,काव्यविधाओं
200,sahowaaliya,साहोवालिया,सहोवालिया,सहोवालिया
201,yojnah,योजनाः,योजनाह,योजनाह
202,anyonyashrittaa,अन्योन्याश्रितता,अन्योन्यश्रित्ता,अन्योन्यश्रित्ता
203,rajneetikaaron,राजनीतिकारों,राजनीतिकारों,राजनीतिकारों
204,imaandaaree,इमानदारी,इमांदारी,इमांदारी
205,dipodhaarak,डिपोधारक,दीपोधारक,दीपोधारक
206,pwid,पीडब्ल्यूआईडी,पीवाईडी,पीवाईडी
207,khukhundu,खुखुंदू,खुखुन्दु,खुखुन्दु
208,faurensis,फारेंसिस,फौरेन्सिस,फौरेन्सिस
209,bhaagdaud,भागदौड़,भागदौद,भागदौद
210,aaryam,आर्यम्,आर्यम्,आर्यम्
211,kaaryakartriyon,कार्यकर्त्रियों,कार्यकर्त्रियों,कार्यकर्त्रियों
212,matiyaanaa,मतियाना,मतियाना,मतियाना
213,yachikakarta,याचिकाकर्ता,याचिकाकार्ता,याचिकाकार्ता
214,dushvariyon,दुश्वारियों,दुश्वरियों,दुश्वरियों
215,uthanevaale,उठनेवाले,उठानेवाले,उठानेवाले
216,gayikaao,गायिकाओ,गायिकाओ,गायिकाओ
217,akhuaapada,अखुआपाड़ा,अखुआपादा,अखुआपादा
218,sheelbhag,शीलभंग,शीलभाग,शीलभाग
219,kaamanaen,कामानाएं,कामानाएं,कामानाएं
220,badabadee,बडबडी,बादबादी,बादबादी
221,pharm,फाॅर्म,फार्म,फार्म
222,bataao,बताअाे,बताओ,बताओ
223,videoh,वीडियोः,वाइडिओह,वाइडिओह
224,jawate,जावते,जवाते,जवाते
225,mangalmoortih,मंगलमूर्तिः,मंगलमूर्तिह,मंगलमूर्तिह
226,dhabhashara,धभाशारा,धभशरा,धभशरा
227,parchiyon,पर्चियों,पर्चियों,पर्चियों
228,vidyathyon,विद्याथयों,विद्याथ्यों,विद्याथ्यों
229,seho,सेहो,सेहो,सेहो
230,sanketaa,सँकेता,संकेता,संकेता
231,kurvetu,कुर्वेती,कुर्वेतु,कुर्वेतु
232,telibag,तेलीबाग,तेलिबाग,तेलिबाग
233,rediumdharmi,रेडियमधर्मी,रेडियुमधर्मी,रेडियुमधर्मी
234,intarawyu,इंटरव्यु,इंटरव्यू,इंटरव्यू
235,somvar,साेमवार,सोमवार,सोमवार
236,seerae,सीरए,सीएरीए,सीएरीए
237,ews,ईडब्लूएस,एबीवीसी,एबीवीसी
238,upasthiyon,उपस्थियों,उपस्थियों,उपस्थियों
239,doobnevaale,डूबनेवाले,दूबनेवाले,दूबनेवाले
240,gujaarane,गुजारने,गुजारने,गुजारने
241,soonsaan,सूनसान,सोओंसान,सोओंसान
242,patravaliyan,पत्रावलियां,पत्रवलियाँ,पत्रवलियाँ
243,golhaura,गोल्हौरा,गोलहौरा,गोलहौरा
244,bharatwanshi,भारतवंशी,भारतवांशी,भारतवांशी
245,anusaarakaa,अनुसारका,अनुसारका,अनुसारका
246,ikthiyosis,इक्थियोसिस,इक्थीयोसिस,इक्थीयोसिस
247,janbhavna,जनभावना,जनभवना,जनभवना
248,mandalaayukto,मण्डलायुक्तो,मंदलायुक्तो,मंदलायुक्तो
249,hisaarah,हिसारः,हिसाराह,हिसाराह
250,ghunson,घूंसों,गढ़सोन,गढ़सोन
251,staatiya,स्टाटिया,स्टाटिया,स्टाटिया
252,record,रिकाॅर्ड,रिकॉर्ड,रिकॉर्ड
253,sabhar,सभर,सभार,सभार
254,matiyaana,मतियाना,मतियाना,मतियाना
255,obzerver,ऑब्जर्वर,ओब्ज़र्वर,ओब्ज़र्वर
256,sharp,शाॅर्प,शार्प,शार्प
257,courier,कॅरियर,कॉयरियर,कॉयरियर
258,purwafalguni,पूर्वाफाल्गुनी,पुर्वफॅल्गुनी,पुर्वफॅल्गुनी
259,galatfahmi,ग़लतफ़हमी,गालतफहमी,गालतफहमी
260,dibanu,डिबनू,दिबानु,दिबानु
261,swatantrasingh,स्वतंत्रसिंह,स्वातंत्रसिंह,स्वातंत्रसिंह
262,chootile,चुटीले,चूठिले,चूठिले
263,jilawasiyon,जिलावासियों,जिलावासियों,जिलावासियों
264,srijanvigyaanee,सृजनविज्ञानी,सृजन्विग्यानी,सृजन्विग्यानी
265,jiyaaoor,जियाऊर,जियाऊर,जियाऊर
266,prakaashit,प्रकाषित,प्रकाशित,प्रकाशित
267,kesko,केस्को,केस्को,केस्को
268,nsiu,एनएसआईयू,नेशीयू,नेशीयू
269,mukhyasachivon,मुख्यसचिवों,मुख्यासचिवों,मुख्यासचिवों
270,kavyavidhaon,काव्यविधाओं,काव्यविधाओं,काव्यविधाओं
271,rookvaai,रुकवाई,रूकवाई,रूकवाई
272,unchaee,उंचाई,उँचाई,उँचाई
273,yaadrichhik,यादृच्छिक,यादृच्छिक,यादृच्छिक
274,mastmoula,मस्तमौला,मस्तमूला,मस्तमूला
275,punahsthapana,पुनःस्थापना,पुनःस्थापना,पुनःस्थापना
276,sahintaa,सहिंता,सहिन्ता,सहिन्ता
277,jhaaugunj,झाउगंज,झहाँगुँज,झहाँगुँज
278,badbolepan,बड़बोलेपन,बादबोलेपन,बादबोलेपन
279,graamyadewi,ग्राम्यदेवी,ग्राम्यादेवी,ग्राम्यादेवी
280,dayaalapuraa,दयालपुरा,दयालपुरा,दयालपुरा
281,taadhikaa,ताड़िका,ताधिका,ताधिका
282,rajsthanwasiyon,राजस्थानवासियों,राजस्थानवासीयों,राजस्थानवासीयों
283,zand,झंड,ज़ान्ड,ज़ान्ड
284,prabadhann,प्रबधंन,प्रबधान्न,प्रबधान्न
285,chungiyon,चुंगियों,चुंगीयों,चुंगीयों
286,ardhavishvas,अर्धविश्वास,अर्धविश्वास,अर्धविश्वास
287,svikritiyon,स्वीकृतियाें,स्विक्रितियों,स्विक्रितियों
288,pransangalee,प्राणसंगली,प्राणसंगली,प्राणसंगली
289,mugalataa,मुगालता,"मुगलता

For more transliterations, feel free to ask!",मुगलता
290,pulinde,पुलिंदे,पुलिन्दे,पुलिन्दे
291,emaaries,एमआरइएस,एमारीज़्स,एमारीज़्स
292,wiwekadhikaron,विवेकाधिकारों,वीविकाधिकारों,वीविकाधिकारों
293,vishnupura,विष्णुपुरा,"विश्नुपुर

For more information on transliteration rules, please refer to the International Organization for Standardization (ISO) 15919:2007 standard.",विश्नुपुर
294,sameekshaakartaa,समीक्षाकर्ता,समीक्षाकार्ता,समीक्षाकार्ता
295,bmwm,बीएमडब्ल्यूएम,बीएमडीडीएम,बीएमडीडीएम
296,soraadhee,सोराड़ी,सोराधी,सोराधी
297,jindagee,जिदंगी,जिन्दगी,जिन्दगी
298,tasweere,तस्वीरे,तास्वीरे,तास्वीरे
299,bhautikvaadiyon,भौतिकवादियों,भौतिकवादियों,भौतिकवादियों
300,perels,पेरेल्स,पेरेल्स,पेरेल्स
301,kaaragujaariyaan,कारगुजारियां,कारगुजारियां,कारगुजारियां
302,parnstaaron,पर्नस्टारों,पर्नस्तारों,पर्नस्तारों
303,hormone,हॉरमोन,हॉर्मोन,हॉर्मोन
304,jhauganj,झाउगंज,झौगँज,झौगँज
305,poleesistreelaaleen,पॉलीसिस्ट्रीलालीन,पोलीसिस्ट्रीलालीन,पोलीसिस्ट्रीलालीन
306,mazakiya,मज़ाकिया,माज़किया,माज़किया
307,prakashakah,प्रकाशकः,प्रकाशकाह,प्रकाशकाह
308,hilig,हीलिग,हिलिग,हिलिग
309,shantik,शांतिक,शान्तिक,शान्तिक
310,lagtaar,लगतार,लागतार,लागतार
311,allrounder,ऑलराउंडर,अलराउंडर,अलराउंडर
312,manokaamnaon,मनोकामनाओं,मानोकामनाओं,मानोकामनाओं
313,prakriyagat,प्रक्रियागत,प्रक्रियागत,प्रक्रियागत
314,toncil,टोंसिल,तोन्सिल,तोन्सिल
315,buddhajeevee,बुद्धजीवी,बुद्धजीवी,बुद्धजीवी
316,lalaniyaa,ललानिया,लालनिया,लालनिया
317,baagora,बागोरा,बागोरा,बागोरा
318,pahunchayen,पहुंचायें,पहुँचायें,पहुँचायें
319,hajame,हाजमे,हॅजमे,हॅजमे
320,aasmati,आसमती,आसमति,आसमति
321,svabhavatah,स्वभावतः,स्वभावतः,स्वभावतः
322,nadiyavan,नदियावां,नदीयान,नदीयान
323,varkachaarj,वर्कचार्ज,वर्कचार्ज,वर्कचार्ज
324,satrahawen,सत्रहवें,सत्रहावेन,सत्रहावेन
325,ekaantikta,एकांतिकता,एकान्तिक्ता,एकान्तिक्ता
326,liftmen,लिफ्टमेन,लिफ्टमेन,लिफ्टमेन
327,bavat,बावत्,बावत,बावत
328,choochi,चूची,चूची,चूची
329,pravrittivigyanon,प्रवृत्तिविज्ञानों,प्रवृत्तिविज्ञानों,प्रवृत्तिविज्ञानों
330,jyaadhda,ज्याधदा,ज्याध्दा,ज्याध्दा
331,mantriyan,मंत्रियां,मंत्रियान्,मंत्रियान्
332,peedablyooaaidee,पीडब्ल्यूआईडी,"पीड़ाबली

(This transliteration is for ""pediatrics"" in Hindi, as ""peedablyooaaidee"" is a phonetic spelling of the English word ""pediatrics"" and does not have a direct transliteration in Hindi.)",पीड़ाबली
333,beraharamee,बेरहरमी,बेरहारमी,बेरहारमी
334,prasaadhikaen,प्रसाधिकाएं,प्रसाधिकाएं,प्रसाधिकाएं
335,bachhdon,बछड़ों,बच्चों,बच्चों
336,viroodh,विरूद्व,विरोध,विरोध
337,kraantidhara,क्रांतिधरा,क्रान्तिधारा,क्रान्तिधारा
338,kharuvaar,खरुवार,खरुवार,खरुवार
339,sonchate,सोंचते,सोनचाते,सोनचाते
340,zeengur,झींगुर,ज़ेंगूर,ज़ेंगूर
341,badbadee,बडबडी,बादबदी,बादबदी
342,pradhaanamantreekee,प्रधानमंत्रीकी,प्रधानमंत्रीकी,प्रधानमंत्रीकी
343,khareedadaaree,ख़रीददारी,खरेदादारी,खरेदादारी
344,praartiyon,प्रार्टियों,प्रार्थियों,प्रार्थियों
345,siddhaalingaa,सिद्दालिंगा,सिद्धालिंगा,सिद्धालिंगा
346,irw,आईआरडब्ल्यू,ईआरडी,ईआरडी
347,tralon,ट्रालों,त्रालोन,त्रालोन
348,kham,ख़म,खाम,खाम
349,lipaaee,लिपाई,लिपाएँ,लिपाएँ
350,talkshow,टॉकशो,"ताल्कशॉ

In Hindi, ""talkshow"" is transliterated as ""ताल्कशॉ"".",ताल्कशॉ
351,erand,एरण्ड,एरांद,एरांद
352,entreeks,एंट्रीक्स,एन्ट्रीक्स,एन्ट्रीक्स
353,kubuddin,कुबुद्दीन,कुबुद्दीन,कुबुद्दीन
354,chitrakathaa,चित्रकथा,चित्रकथा,चित्रकथा
355,batao,बताअाे,बताओ,बताओ
356,poochhaparakh,पूछपरख,पूछपरख,पूछपरख
357,sammpattiyaan,संम्पत्तियां,सम्पत्तियाँ,सम्पत्तियाँ
358,purvasiyon,पुरवासियों,पुरवसियों,पुरवसियों
359,galoondiyaa,गलूंडिया,गालूनडिया,गालूनडिया
360,raashtron,राष्ट्रोंं,राष्ट्रों,राष्ट्रों
361,dwiarthee,द्विअर्थी,द्विअर्थी,द्विअर्थी
362,ukhadhakar,उखड़कर,उघड़खार,उघड़खार
363,jatilaa,जटिला,जातिला,जातिला
364,maladahiya,मलदहिया,मलादाहिया,मलादाहिया
365,ginaaeen,गिनाईं,गिनाएँ,गिनाएँ
366,okidaa,ओकिडा,ओकिदा,ओकिदा
367,ghataaegee,घटाएगी,घटाएगी,घटाएगी
368,rishvatkhor,रिश्वतखोर,रिश्वतखोर,रिश्वतखोर
369,neurological,न्यूरोलॉजीकल,नियुक्तलोगिकल,नियुक्तलोगिकल
370,hatyaropiyon,हत्यारोपियों,हत्यारोपियों,हत्यारोपियों
371,ghumaaee,घुमाई,घुमाई,घुमाई
372,rashtriyadhyaksh,राष्ट्रियाध्यक्ष,राष्ट्रियध्याक्ष,राष्ट्रियध्याक्ष
373,hadbada,हड़बड़ा,हादबदा,हादबदा
374,chamas,चमस,चहमस,चहमस
375,chidhaataa,चिढ़ाता,चिधाता,चिधाता
376,seedhiyaan,सीढ़ियां,सीद्हियाँ,सीद्हियाँ
377,mastmaula,मस्तमौला,मस्तमूला,मस्तमूला
378,hindustin,हिंदुस्तीन,हिन्दुस्तान,हिन्दुस्तान
379,anadhikaarik,अनाधिकारिक,अनधिकारिक,अनधिकारिक
380,bhen,भें,बहन,बहन
381,jiwanparyant,जीवनपर्यंत,जिवनपर्यन्त,जिवनपर्यन्त
382,svarnikaa,स्वर्णिका,स्वर्णिका,स्वर्णिका
383,najaraandaajh,नजरअंदाज़,नज़रांदाज़ह,नज़रांदाज़ह
384,roohelkhand,रूहेलखंड,रूहेलख़ांद,रूहेलख़ांद
385,unnatiyon,उन्नतियों,उन्नतियों,उन्नतियों
386,ogrenaij,ऑग्रेनाइज,ओग्रेनाइज,ओग्रेनाइज
387,shilbhang,शीलभंग,शिल्भंग,शिल्भंग
388,vishvwandhyaa,विश्ववंद्या,विश्ववन्ध्या,विश्ववन्ध्या
389,gushtaakhee,गुश्ताखी,गुश्ताखी,गुश्ताखी
390,kaalawan,कालवन,कालावन,कालावन
391,swadpremiyon,स्वादप्रेमियों,स्वद्प्रेमियों,स्वद्प्रेमियों
392,tadad,तदाद,तादाद,तादाद
393,ahitakaaree,अहितकारी,अहितकारी,अहितकारी
394,hr,एचआर,हाँर,हाँर
395,chhalaah,छलाह,छलाह,छलाह
396,gaaleegalauj,गालीगलौज,गालीगालौज,गालीगालौज
