eng,hin,original_response_mistral
rookvaaee,रुकवाई,रूकवाई
nigmaayukt,निगमायुक्त,निग्मायुक्त
uthaaeange,उठाएँगे,उठाएंगे
badhane,बड़ने,बधने
hathdharmitaa,हठधर्मिता,हठधर्मिता
extremadura,एक्स्ट्रीमाडुरा,एक्स्TREEमादुरा
samruddhiyon,समृद्धियों,सम्रुद्धियों
rodrej,रोडरेज,रोडरेज
lubhaavna,लुभावना,लुभावना
tinka,टिंका,तिंका
jhaugunj,झाउगंज,झौगँज
antarwisht,अंतर्विष्ट,अन्तरविष्ट
istraailiyon,इस्त्राइलियों,इस्ट्रेलाइयों
nyootriyo,न्यूट्रियो,न्यूत्रियो
mukhyaadhyaapika,मुख्याध्यापिका,मुख्याध्यापिका
antarraajyikaran,अंतरराज्यीकरण,अन्तरराज्यिकरण
khaarakon,खारकों,खारकों
metrologist,मैट्रोलॉजिस्ट,मेट्रोलॉजिस्ट
auditor,ऑडिटर,ऑडिटर
lorda,लोरदा,लॉर्डा
kremistry,क्रेमिस्ट्री,क्रेमिस्ट्री
aatmasanrakshan,आत्मसंरक्षण,आत्मासंरक्षण
hogaah,होगाः,होगाह
jhaiyaan,झाइयां,झहियाँ
adhikariyon,अधिकरियों,अधिकारियों
orignal,ऑरिजनल,ओरिजिनल
xnx,एक्सएनएक्स,झेनेक्स
bhijwaaee,भिजवाई,भिजवाई
shakhsiyaten,शख्सियतें,शख्सियतें
charchaamanch,चर्चामंच,चर्चामंच
chhavindra,छविंद्र,छविन्द्रा
prasadhikaaen,प्रसाधिकाएं,प्रसाधिकाएन
phijoolkharchi,फिजूलखर्ची,फिजूलखरची
dahaade,दहाड़े,दहादे
haathe,हाथे,हाथे
electroteks,इलेक्ट्रोटेक्स,इलेक्ट्रोटेक्स
mantriyonke,मंत्रियोंके,मंत्रियोंके
parmaujood,परमौजूद,परमाउजूड
lautis,लउटिस,लॉटिस
vaidh,वैध्,वैद्य
gadbadbadi,गड़बड़बड़ी,गद्दबद्बदी
pradhanmantriki,प्रधानमंत्रीकी,प्रधानमंत्रीकी
pratinidheeyo,प्रतिनिधीयो,प्रतिनिधेयो
anyonyashritataa,अन्योन्याश्रितता,"अन्योन्यश्रितता

Here's the transliteration for ""anyonyashritataa"" in Hindi (Devanagari script)."
nirikshak,निरिक्षक,निरिक्षक
malaun,मलौन,मालाउँ
dangon,डंगों,दाँगोन
vipannata,विपन्नता,विपन्नता
satyarthprakash,सत्यार्थप्रकाश,सत्यार्थप्रकाश
ushtee,उशती,उश्ती
wccl,डब्ल्यूसीसीएल,वीसीसीएल
panjaave,पंजावे,पाञ्जावे
ogastaavestalaind,ऑगस्टावेस्टलैंड,ओगास्टावेस्टालैंड
raashtraa,राष्ट्रा,राष्ट्रा
bhabhadh,भभड़,भाभध
chhidey,छिड़े,च्छिदेय
gairaraashtravadee,गैरराष्ट्रवादी,गैराराष्ट्रवादी
choochiyaan,चूचियां,चूछियाँ
maayaajaal,मायाजाल,मायाजाल
pratibhanusar,प्रतिभानुसार,प्रतिभानुसार
unionvaadi,यूनियनवादी,ओनियनवादी
bhramacharchaaon,ब्रह्मचर्चाओं,भ्रमचार्चाओं
jaykara,जयकारा,जयकारा
peedhiyon,पीड़ियों,पीदिहयों
chhanysa,छांयसा,च्छान्यासा
khadhaamukh,खड़ामुख,खधामुख
unee,उंई,उनी
bakhshate,बख्शते,बखशते
suvidhaaonh,सुविधाओंः,सुविधाओंह
kaaryakaaryakartaon,कार्यकार्यकर्ताओं,कार्यकार्यकार्ताओं
chitrakatha,चित्रकथा,चित्रकथा
brahmacharchaon,ब्रह्मचर्चाओं,ब्रह्मचार्यों
housing,हाऊसिंग,हॉजिंग
atyaachaarapoorn,अत्याचारपूर्ण,अत्याचारपूर्ण
phektraree,फेक्ट्ररी,फेक्टरी
khandaharanumaa,खंडहरनुमा,क्हन्दहरणुमा
fibroids,फाइब्रॉइड्स,फ़िब्रोइड्स
gumshudagi,गुमशुदगी,गुमशुदागी
thakurvadee,ठाकुरवादी,ठाकुरवादी
electrotex,इलेक्ट्रोटेक्स,ईलेक्ट्रोटेक्स
matiyana,मतियाना,मातियाना
kshetren,क्षेत्रें,क्षेत्रेन
kagelen,कगेलेन,कागेलेन
radiopremi,रेडियोप्रेमी,राडियोप्रेमी
vimukhataa,विमुखता,विमुखता
latakakar,लटककर,लातकाकर
outomaitikali,औटोमैटिकली,ऑटोमैटिकाली
jaikaara,जयकारा,जैकारा
jabaabee,जबाबी,जाबाबी
seedeeyaan,सीडीयां,सीदीयाँ
badyaal,बडयाल,बद्याल
jutati,जुटाती,जूटाती
lubhate,लुभाते,लुभाते
oef,ओईएफ,ओएफ
shaksubahey,शकसुबहे,शाक्षबहेय
sarebaajaar,सरेबाजार,सरेबाजार
mataantaran,मतांतरण,मातान्तरण
dastaanen,दस्तानें,दस्तानेन
sahyatri,सहयात्री,सह्यात्री
parmeshwarpur,परमेश्वरपुर,परमेश्वरपुर
sound,सांऊड,सॉन्ड
pratibhaanusar,प्रतिभानुसार,प्रतिभानुसार
jarooreeh,जरूरीः,जरूरीह
aarasetee,आरसेटी,आराएसेटी
maseehiyon,मसीहियों,मासेहियों
anumar,अनुमार,अनुमार
sootrapaada,सूत्रपाडा,सूत्रपादा
purnsveekrit,पुर्नस्वीकृत,पुर्णस्वीकृत
distrivution,डिस्ट्रिव्यूशन,दिस्ट्रिব्यूशन
angad,अँगद,अंगद
janbhaawna,जनभावना,जनभawaना
anukraman,अनुक्रमण,अनुक्रमण
samunukool,समुनुकूल,समुनुकूल
sabstensis,सबस्टेंसिस,सबस्टेन्सिस
aagbabulaa,आगबबूला,आगबबूला
chuchiyan,चूचियां,चूछियाँ
shreemaddayaanand,श्रीमद्दयानन्द,श्रीमद्दयानन्द
logon,लोगोंं,लॉगोन
wef,डब्ल्यूईएफ,"दब्बे

(This is the transliteration of 'wef' in Hindi)"
kalasaanaa,कलसाना,"कलसाना

Here's the list of transliterated words:

1. janamdin: जन्मदिन
2. ram: राम
3. pushpak: पुष्पक
4. shalaka: शलाका
5. nri: एनआरआई
6. doctor: डॉक्टर
7. kalasaanaa: कलसाना"
distreebyootaree,डिस्ट्रीब्यूटरी,दिस्ट्रीबूटरी
dvimasik,द्विमासिक,द्विमासिक
nishkarshatah,निष्कर्षतः,निश्कर्षतः
anishtata,अनिष्टता,अनिष्टाता
alaymani,अलयमनी,अलेयमानी
umadtee,उमड़ती,उमद्ती
aaungaa,आउंगा,ऐऊँगा
echajedateesee,एचजेडटीसी,एक्शाजेदाटीसी
badaain,बड़ाएँ,बादाइन
aatankwaadiyon,आतंकवादियोंं,आतंकवादियों
latakkar,लटककर,लतककर
talate,तलते,तालाते
rajnichi,राजनीचि,राजनीची
dhanshyaam,धनश्याम,धानश्याम
parisamwad,परिसंवाद,परिसम्वाद
cremistry,क्रेमिस्ट्री,क्रिमिनेश्ट्री
nindaniya,निंदनीय,निन्दानिया
gumtahi,गुमटही,गुम्तही
bainama,बैनामा,बैनामा
insanee,इनसानी,इंसानी
rikannekting,रिकनेक्टिंग,रिकान्नेक्टिंग
piria,पाइरिया,पिरिया
saunpengi,सौंपेंगी,सॉन्पेंगी
deniar,डेनिअर,देनियार
poorneshvaree,पूर्णेश्वरी,पूर्णेश्वरी
tolakarmee,टोलकर्मी,तोलकारमी
dwirookta,द्विरुक्त,द्विरोक्ता
dodawaasiyon,डोडावासियों,दोदवासियों
prabhaawich,प्रभाविच,प्रभाविच्छ
sunsan,सूनसान,सुनसन
ziladhikaaree,ज़िलाधिकारी,ज़िलाधिकारी
khalti,खलती,खाल्टी
svargduton,स्वर्गदूतों,स्वर्गदुतों
laaminaar,लामिनार,लामिनार
heelig,हीलिग,हीलिग
pinglevarn,पिंगलवर्ण,पिंगलेवर्ण
chacchaa,चच्चा,चाच्छा
kaavyavidhaon,काव्यविधाओं,काव्यविधाओं
sahowaaliya,साहोवालिया,सहोवालिया
yojnah,योजनाः,योजनाह
anyonyashrittaa,अन्योन्याश्रितता,अन्योन्यश्रित्ता
rajneetikaaron,राजनीतिकारों,राजनीतिकारों
imaandaaree,इमानदारी,इमांदारी
dipodhaarak,डिपोधारक,दीपोधारक
pwid,पीडब्ल्यूआईडी,पीवाईडी
khukhundu,खुखुंदू,खुखुन्दु
faurensis,फारेंसिस,फौरेन्सिस
bhaagdaud,भागदौड़,भागदौद
aaryam,आर्यम्,आर्यम्
kaaryakartriyon,कार्यकर्त्रियों,कार्यकर्त्रियों
matiyaanaa,मतियाना,मतियाना
yachikakarta,याचिकाकर्ता,याचिकाकार्ता
dushvariyon,दुश्वारियों,दुश्वरियों
uthanevaale,उठनेवाले,उठानेवाले
gayikaao,गायिकाओ,गायिकाओ
akhuaapada,अखुआपाड़ा,अखुआपादा
sheelbhag,शीलभंग,शीलभाग
kaamanaen,कामानाएं,कामानाएं
badabadee,बडबडी,बादबादी
pharm,फाॅर्म,फार्म
bataao,बताअाे,बताओ
videoh,वीडियोः,वाइडिओह
jawate,जावते,जवाते
mangalmoortih,मंगलमूर्तिः,मंगलमूर्तिह
dhabhashara,धभाशारा,धभशरा
parchiyon,पर्चियों,पर्चियों
vidyathyon,विद्याथयों,विद्याथ्यों
seho,सेहो,सेहो
sanketaa,सँकेता,संकेता
kurvetu,कुर्वेती,कुर्वेतु
telibag,तेलीबाग,तेलिबाग
rediumdharmi,रेडियमधर्मी,रेडियुमधर्मी
intarawyu,इंटरव्यु,इंटरव्यू
somvar,साेमवार,सोमवार
seerae,सीरए,सीएरीए
ews,ईडब्लूएस,एबीवीसी
upasthiyon,उपस्थियों,उपस्थियों
doobnevaale,डूबनेवाले,दूबनेवाले
gujaarane,गुजारने,गुजारने
soonsaan,सूनसान,सोओंसान
patravaliyan,पत्रावलियां,पत्रवलियाँ
golhaura,गोल्हौरा,गोलहौरा
bharatwanshi,भारतवंशी,भारतवांशी
anusaarakaa,अनुसारका,अनुसारका
ikthiyosis,इक्थियोसिस,इक्थीयोसिस
janbhavna,जनभावना,जनभवना
mandalaayukto,मण्डलायुक्तो,मंदलायुक्तो
hisaarah,हिसारः,हिसाराह
ghunson,घूंसों,गढ़सोन
staatiya,स्टाटिया,स्टाटिया
record,रिकाॅर्ड,रिकॉर्ड
sabhar,सभर,सभार
matiyaana,मतियाना,मतियाना
obzerver,ऑब्जर्वर,ओब्ज़र्वर
sharp,शाॅर्प,शार्प
courier,कॅरियर,कॉयरियर
purwafalguni,पूर्वाफाल्गुनी,पुर्वफॅल्गुनी
galatfahmi,ग़लतफ़हमी,गालतफहमी
dibanu,डिबनू,दिबानु
swatantrasingh,स्वतंत्रसिंह,स्वातंत्रसिंह
chootile,चुटीले,चूठिले
jilawasiyon,जिलावासियों,जिलावासियों
srijanvigyaanee,सृजनविज्ञानी,सृजन्विग्यानी
jiyaaoor,जियाऊर,जियाऊर
prakaashit,प्रकाषित,प्रकाशित
kesko,केस्को,केस्को
nsiu,एनएसआईयू,नेशीयू
mukhyasachivon,मुख्यसचिवों,मुख्यासचिवों
kavyavidhaon,काव्यविधाओं,काव्यविधाओं
rookvaai,रुकवाई,रूकवाई
unchaee,उंचाई,उँचाई
yaadrichhik,यादृच्छिक,यादृच्छिक
mastmoula,मस्तमौला,मस्तमूला
punahsthapana,पुनःस्थापना,पुनःस्थापना
sahintaa,सहिंता,सहिन्ता
jhaaugunj,झाउगंज,झहाँगुँज
badbolepan,बड़बोलेपन,बादबोलेपन
graamyadewi,ग्राम्यदेवी,ग्राम्यादेवी
dayaalapuraa,दयालपुरा,दयालपुरा
taadhikaa,ताड़िका,ताधिका
rajsthanwasiyon,राजस्थानवासियों,राजस्थानवासीयों
zand,झंड,ज़ान्ड
prabadhann,प्रबधंन,प्रबधान्न
chungiyon,चुंगियों,चुंगीयों
ardhavishvas,अर्धविश्वास,अर्धविश्वास
svikritiyon,स्वीकृतियाें,स्विक्रितियों
pransangalee,प्राणसंगली,प्राणसंगली
mugalataa,मुगालता,"मुगलता

For more transliterations, feel free to ask!"
pulinde,पुलिंदे,पुलिन्दे
emaaries,एमआरइएस,एमारीज़्स
wiwekadhikaron,विवेकाधिकारों,वीविकाधिकारों
vishnupura,विष्णुपुरा,"विश्नुपुर

For more information on transliteration rules, please refer to the International Organization for Standardization (ISO) 15919:2007 standard."
sameekshaakartaa,समीक्षाकर्ता,समीक्षाकार्ता
bmwm,बीएमडब्ल्यूएम,बीएमडीडीएम
soraadhee,सोराड़ी,सोराधी
jindagee,जिदंगी,जिन्दगी
tasweere,तस्वीरे,तास्वीरे
bhautikvaadiyon,भौतिकवादियों,भौतिकवादियों
perels,पेरेल्स,पेरेल्स
kaaragujaariyaan,कारगुजारियां,कारगुजारियां
parnstaaron,पर्नस्टारों,पर्नस्तारों
hormone,हॉरमोन,हॉर्मोन
jhauganj,झाउगंज,झौगँज
poleesistreelaaleen,पॉलीसिस्ट्रीलालीन,पोलीसिस्ट्रीलालीन
mazakiya,मज़ाकिया,माज़किया
prakashakah,प्रकाशकः,प्रकाशकाह
hilig,हीलिग,हिलिग
shantik,शांतिक,शान्तिक
lagtaar,लगतार,लागतार
allrounder,ऑलराउंडर,अलराउंडर
manokaamnaon,मनोकामनाओं,मानोकामनाओं
prakriyagat,प्रक्रियागत,प्रक्रियागत
toncil,टोंसिल,तोन्सिल
buddhajeevee,बुद्धजीवी,बुद्धजीवी
lalaniyaa,ललानिया,लालनिया
baagora,बागोरा,बागोरा
pahunchayen,पहुंचायें,पहुँचायें
hajame,हाजमे,हॅजमे
aasmati,आसमती,आसमति
svabhavatah,स्वभावतः,स्वभावतः
nadiyavan,नदियावां,नदीयान
varkachaarj,वर्कचार्ज,वर्कचार्ज
satrahawen,सत्रहवें,सत्रहावेन
ekaantikta,एकांतिकता,एकान्तिक्ता
liftmen,लिफ्टमेन,लिफ्टमेन
bavat,बावत्,बावत
choochi,चूची,चूची
pravrittivigyanon,प्रवृत्तिविज्ञानों,प्रवृत्तिविज्ञानों
jyaadhda,ज्याधदा,ज्याध्दा
mantriyan,मंत्रियां,मंत्रियान्
peedablyooaaidee,पीडब्ल्यूआईडी,"पीड़ाबली

(This transliteration is for ""pediatrics"" in Hindi, as ""peedablyooaaidee"" is a phonetic spelling of the English word ""pediatrics"" and does not have a direct transliteration in Hindi.)"
beraharamee,बेरहरमी,बेरहारमी
prasaadhikaen,प्रसाधिकाएं,प्रसाधिकाएं
bachhdon,बछड़ों,बच्चों
viroodh,विरूद्व,विरोध
kraantidhara,क्रांतिधरा,क्रान्तिधारा
kharuvaar,खरुवार,खरुवार
sonchate,सोंचते,सोनचाते
zeengur,झींगुर,ज़ेंगूर
badbadee,बडबडी,बादबदी
pradhaanamantreekee,प्रधानमंत्रीकी,प्रधानमंत्रीकी
khareedadaaree,ख़रीददारी,खरेदादारी
praartiyon,प्रार्टियों,प्रार्थियों
siddhaalingaa,सिद्दालिंगा,सिद्धालिंगा
irw,आईआरडब्ल्यू,ईआरडी
tralon,ट्रालों,त्रालोन
kham,ख़म,खाम
lipaaee,लिपाई,लिपाएँ
talkshow,टॉकशो,"ताल्कशॉ

In Hindi, ""talkshow"" is transliterated as ""ताल्कशॉ""."
erand,एरण्ड,एरांद
entreeks,एंट्रीक्स,एन्ट्रीक्स
kubuddin,कुबुद्दीन,कुबुद्दीन
chitrakathaa,चित्रकथा,चित्रकथा
batao,बताअाे,बताओ
poochhaparakh,पूछपरख,पूछपरख
sammpattiyaan,संम्पत्तियां,सम्पत्तियाँ
purvasiyon,पुरवासियों,पुरवसियों
galoondiyaa,गलूंडिया,गालूनडिया
raashtron,राष्ट्रोंं,राष्ट्रों
dwiarthee,द्विअर्थी,द्विअर्थी
ukhadhakar,उखड़कर,उघड़खार
jatilaa,जटिला,जातिला
maladahiya,मलदहिया,मलादाहिया
ginaaeen,गिनाईं,गिनाएँ
okidaa,ओकिडा,ओकिदा
ghataaegee,घटाएगी,घटाएगी
rishvatkhor,रिश्वतखोर,रिश्वतखोर
neurological,न्यूरोलॉजीकल,नियुक्तलोगिकल
hatyaropiyon,हत्यारोपियों,हत्यारोपियों
ghumaaee,घुमाई,घुमाई
rashtriyadhyaksh,राष्ट्रियाध्यक्ष,राष्ट्रियध्याक्ष
hadbada,हड़बड़ा,हादबदा
chamas,चमस,चहमस
chidhaataa,चिढ़ाता,चिधाता
seedhiyaan,सीढ़ियां,सीद्हियाँ
mastmaula,मस्तमौला,मस्तमूला
hindustin,हिंदुस्तीन,हिन्दुस्तान
anadhikaarik,अनाधिकारिक,अनधिकारिक
bhen,भें,बहन
jiwanparyant,जीवनपर्यंत,जिवनपर्यन्त
svarnikaa,स्वर्णिका,स्वर्णिका
najaraandaajh,नजरअंदाज़,नज़रांदाज़ह
roohelkhand,रूहेलखंड,रूहेलख़ांद
unnatiyon,उन्नतियों,उन्नतियों
ogrenaij,ऑग्रेनाइज,ओग्रेनाइज
shilbhang,शीलभंग,शिल्भंग
vishvwandhyaa,विश्ववंद्या,विश्ववन्ध्या
gushtaakhee,गुश्ताखी,गुश्ताखी
kaalawan,कालवन,कालावन
swadpremiyon,स्वादप्रेमियों,स्वद्प्रेमियों
tadad,तदाद,तादाद
ahitakaaree,अहितकारी,अहितकारी
hr,एचआर,हाँर
chhalaah,छलाह,छलाह
gaaleegalauj,गालीगलौज,गालीगालौज
kaabilegaur,काबिलेगौर,काइबलेगौर
anshaankan,अंशांकन,अंशांकन
badalawa,बदलवा,बदलावा
lekhakaganon,लेखकगणों,लेखाकगणों
mog,मॉग,मोग
sadqen,सडक़ें,सद्गन
tuchche,टुच्चे,तूच्चे
pityuniya,पिट्यूनिया,पिट्यूनिया
gairajimmedaari,गैरजिम्मेदारी,गैरजीमेदारी
gayikao,गायिकाओ,गायीकाओ
pratimurtiyon,प्रतिमूर्तियों,प्रतिमूर्तियों
ug,यूजी,"ओझ

(This is the transliteration of ""ug"" in Hindi.)"
ratiyo,रातियो,रातियो
sapa,सपा्,सापा
pradeshwashiyon,प्रदेशवाशियों,प्रदेशवाशियों
sahowaliya,साहोवालिया,सहोवालिया
dhoodh,ढूढ़,धूध
radiopremee,रेडियोप्रेमी,रेडियोप्रेमी
laipiyare,लैपियरे,लैपियारे
bataayaaki,बतायाकि,बतायाकी
yaachikakarta,याचिकाकर्ता,याछिकाकर्ता
fixingh,फिक्सिंगः,फिक्सिंगह
maathaloo,माथलू,माथलू
sevalaa,सेवाला,सेवाला
pratishthanon,प्रतिष्ठानोंं,प्रतिष्ठानों
airtu,एआईआरटीयू,ऐरटू
arthshaastreeyon,अर्थशास्त्रीयों,अर्थशास्त्रीयों
nateejeh,नतीजेः,नाटीजेह
pensiondhaariyon,पेंशनधारियों,पेंशनधारीयों
gurupado,गुरुपदो,गुरुपादो
kathhnaeeyon,कठनाईयों,कथ्नाएयों
aatankvadiyon,आतंकवादियोंं,आतंकवादियों
gaangnaam,गांगनाम,गांगनाम
andaji,अंदाजी,अन्दजी
lx,एलएक्स,ल्यूएक्स
saraaymohiuddeenpur,सरायमोहिउद्दीनपुर,सरायमोहिउद्दीनपुर
nimnavat,निम्नवत्,निम्नवत्
kaalavan,कालवन,कालवन
theen,थींं,ठीन
karnpriya,कर्णप्रिय,कर्णप्रिया
lokapratinidhiyon,लोकप्रतिनिधियों,लोकप्रतिनिधियों
harraa,हर्रा,हररा
beechbachaav,बीचबचाव,बीचबचाव
vives,विवेस,वीवेस
raashtrapit,राष्ट्रपित,राष्ट्रपित
kikkar,किक्कर,किक्कर
gyaanavarddhak,ज्ञानवर्द्धक,ग्यानवर्धक
greenpaark,ग्रीनपार्क,ग्रीनपार्क
lekhan,लेख़न,लेखान
raidcras,रैडक्रास,रेडक्रास
krantidhara,क्रांतिधरा,क्रान्तिधारा
khaatedaar,खातेदार,खातेदार
tasvire,तस्वीरे,तस्वीरे
shantiyon,शांतियों,शांतियों
sidiyaan,सीडीयां,सिदियान
bhrastraachariyon,भ्रष्ट्राचारियों,भ्रष्टाचारियों
camstudio,कैमस्टूडियो,केमस्टूडियो
nagaraayukt,नगरायुक्त,नगरायुक्त
overall,ओवरऑल,ओवरव्यावस्था
chikatsaa,चिकत्सा,चिकटसा
gulmohammed,गुलमोहम्मद,गुलमोहम्मद
kaathiyavadi,काठियावड़ी,काठियावादी
pratishaap,प्रतिशाप,प्रतिशाप
manosh,मनोष,मानोश
kunjiyon,कुंजियों,कुन्जियों
sangathanmantriyon,संगठनमंत्रियों,संगठनमंत्रियों
cdyaan,सीडीयां,चद्यान
badaa,बडा़,बड़ा
vandemaataram,वन्देमातरम्,वन्देमातरम्
sattaawirodhee,सत्ताविरोधी,सत्ताविरोधी
menraajya,मेंराज्य,मेन्राज्य
faarensis,फारेंसिस,फारेन्सिस
barapaayee,बरपायी,बारापायी
ambedakaree,अंबेडकरी,अम्बेदकरे
pulamaa,पुलमा,पुलामा
safaeekarmi,सफाईकर्मी,सफाईकार्मी
madhyaan,मध्यान,मध्यान
namajiyon,नमाजियों,नमाजियों
rediyopremee,रेडियोप्रेमी,रेडियोप्रेमी
aayudhnirmaanee,आयुधनिर्माणी,आयुधनिर्मानी
pradhaannagar,प्रधाननगर,प्रधाननगर
kuarantine,क्वॉरेनटाइन,क्वारान्टीन
ubalaa,उबाला,उबाला
kundaliyaan,कुंडलियां,कुंडलियां
paisenjarjind,पैसेंजरजींद,पैसेंजर्जिन्द
prospeks,प्रॉस्पेक्स,प्रोस्पेक्स
ragadna,रगड़ना,रागद्ना
swaatam,स्वातं,स्वातम्
ramjeelaal,रामजीलाल,रामजीलाल
laamiyaan,लामियां,लामियाँ
siroheewaal,सिरोहीवाल,सिरोहीवाल
respekting,रिस्पेक्टिंग,रेस्पेक्टिंग
ranabaankure,रणबांकुरे,रानाबांकुरे
mahaadharmaadhyaksha,महाधर्माध्यक्ष,महाधर्माध्यक्ष
ghrutakumaaree,घृतकुमारी,घृतकुमारी
biolojis,बायोलॉजिस्,बाइологиस
purwafalgunee,पूर्वाफाल्गुनी,पुर्वाफ़ल्गुनी
safaikarmi,सफाईकर्मी,सफैकर्मी
ghatabadh,घटबढ़,घातबध
tarpanthiyon,टरपंथियों,तरपन्थियों
dbmcc,डीबीएमसीसी,डीबीएमसीसी
shohadaapantee,शोहदापंती,शोहदापन्ती
karneshvardhaam,कर्णेश्वरधाम,कर्नेश्वर्धाम
chandradaas,चन्द्रदास,चांद्रदास
bhautikwadiyon,भौतिकवादियों,भौतिकवादियों
evava,एवव,एवाव
asvamegh,अस्वमेघ,अस्वमेघ
viwekadhikaron,विवेकाधिकारों,विवेकाधिकारों
madanganj,मदनगंज,मदांगञ्ज
krutyaa,कृत्या,क्रुत्या
avyavasayi,अव्यवसायी,अव्यवस्थायी
vakif,वाकिफ़,वाकिफ
udghaatanon,उद्घाटनों,उड़्गाहानों
waakif,वाकिफ़,वाकिफ
talaasha,तलाशा,तलाशा
narendrakumar,नरेन्द्रकुमार,नरेंद्रकुमार
ghareebon,ग़रीबों,घरीबों
peeran,पीरान,पीयरान
laalmani,लालमणी,लालमानि
wikaskhand,विकासखण्ड,विकासखण्ड
ethenyaa,एथेंया,एथेन्या
prospecs,प्रॉस्पेक्स,प्रोसेप्स
andarkhane,अंदरखाने,अंदरखाने
laphz,लफ्ज,लाफ़्ज़
inspeksan,इंस्पेक्सन,इंस्पेक्सन
vivekaadheen,विवेकाधीन,विवेकाधीन
diyotsiddh,दियोटसिद्ध,दियोत्सिद्ध
shorp,शाॅर्प,शोर्प
chadhegaa,चढ़ेगा,चड़ेगा
intaravyu,इंटरव्यु,इंटरव्यू
siddhalinga,सिद्दालिंगा,सिद्धलिंग
tirthnagaree,तीर्थनगरी,तिर्थनगरी
pratiprashnon,प्रतिप्रश्नों,प्रतिप्रश्नों
sikhin,सीखीं,सिखिन
balaatkaariyon,बलात्कारियों,बलात्कारियों
multistaitic,मल्टिस्टैटिक,मुल्टीस्टेटिक
shadadhi,शदधि,शादधि
patrakarwaarta,पत्रकारवार्ता,पत्रकारवार्ता
prashnottaree,प्रश्नोत्तरी,प्रश्नोत्तरी
surendrapaal,सुरेंद्रपाल,शुरेन्द्रपाल
maayajaal,मायाजाल,मायाजाल
bantata,बंटता,बानताता
punarwigyapan,पुनर्विज्ञापन,पुनरविग्यानपन
dehdhaaree,देहधारी,देहधारी
kaabilegour,काबिलेगौर,काइबलेगौर
buddhijeewon,बुद्धिजीवों,बुद्धिजीवन
maitrolojist,मैट्रोलॉजिस्ट,मैट्रोलॉजिस्ट
shraddhaajanli,श्रद्धाजंलि,श्रद्धाजनली
svaayattshaasan,स्वायत्तशासन,स्वायत्तशासन
sanyuktawastha,संयुक्तावस्था,सन्युक्तावस्था
dhanashyaam,धनश्याम,धानश्याम
shikshakarmiyon,शिक्षाकार्मियों,शिक्षकर्मीयों
photolokasabha,फोटोलोकसभा,फोटोलोकासभा
oxident,ऑक्सीडेंट,ओक्सिडेंट
dosar,दोसर,दोसर
dyooreblas,ड्यूरेब्लस,द्यूरेब्लास
chadhega,चढ़ेगा,चड़ेगा
aaufisaree,ऑफिसरी,ऐउफिसारी
kaabiletaarif,काबिलेतारीफ,काइअबलेतारिफ
jalakreedhaa,जलक्रीड़ा,जालक्रीधा
sahovaliya,साहोवालिया,सहोवालिया
yaaddaasht,याद्दाश्त,यादास्थ
pempoo,पेम्पोओ,पेम्पू
sabhaakaksh,सभाकक्ष,सभाकाश
pradhaanmantreekee,प्रधानमंत्रीकी,प्रधानमंत्रीकी
badbadi,बडबडी,बादबादी
viraangnaon,वीरांगनाओं,वीरांगणों
faliya,फालिया,फालिया
edaamrakoo,एडामराकू,एडाम्रकू
nyaaydharma,न्यायधर्म,न्यायधर्म
praupartee,प्रौपर्टी,प्राउपार्टी
