picot,पिकॉट
dushtachakraatoon,दुष्टचक्रातून
niqr,एनआईक्यूआर
chananwal,चननवाल
sericulture,सेरिकल्चर
truvada,त्रुवदा
ginsonoside,जिन्सनोसाइड
semec,सेमेक
dekhthain,देखथैं
nishshabdtaa,निश्शब्दता
chirdeep,चिरदीप
kishmishi,किशमिशी
risdi,रिस्दी
pohar,पोहर
mukhvatyachya,मुखवट्याच्या
ashtangon,अष्टांगों
nilakkal,निलक्कल
khushbuon,खुशबुओं
apekshitahi,अपेक्षितही
yupesh,युपेश
kjm,केजेएम
architecture,अर्किटेक्चर
kaumoda,कौमोदा
atistravan,अतिस्त्रावण
raisingh,रायसिंघ
zaqatala,ज़ाकाताला
banwasa,बनवासा
yuchinaura,यूचीनौरा
shob,शोब
fauda,फौदा
poojaao,पूजाओ
gangwani,गंगवानी
lakhuram,लखुराम
finvest,फिन्वेस्ट
parathyroid,पैराथायराइड
braahmaneewaalaa,ब्राह्मणीवाला
durs,दुरस्
zayane,जायाने
ruruk,रुरुक
baratpahadi,बरातपहाड़ी
poochkatt,पूचकट्ट
lathality,लेथालिटी
sangamnagar,संगमनगर
glenna,ग्लेन्ना
floot,फ्लूट
palayam,पालायम
angrejeeparast,अंग्रेजीपरस्त
jabarti,जबराती
murso,मुरसो
meghachya,मेघाच्या
flage,फ्लेज
hydrophobia,हाइड्रोफोबिया
khvaave,ख्वावे
sahasamal,सहसमल
hinduv,हिन्दुव
seenv,सींव
bichchiwada,बिच्छीवाड़ा
kalakendrat,कलाकेंद्रात
superbazaar,सुपरबाजार
naanden,नांदें
shrenisudhar,श्रेणीसुधार
ruhr,रूर
dhoteedhaaree,धोतीधारी
kugal,कुगल
tivedan,तिवेदन
irab,इराब
maheshnand,महेशनंद
devasthanane,देवस्थानाने
stumbling,स्टंबलिंग
ghanavastha,घनावस्था
ganjuri,गंजूरी
kahalaaunga,कहलाऊंगा
karnabheda,कर्णभेद
noshta,नोश्ता
tumour,ट्युउमर
prostate,प्रॉस्टेट
shivchatrapatinvar,शिवछत्रपतींवर
anishtikalin,अनिश्तिकालीन
kasaridih,कसारीडीह
nevaje,नेवाजे
receptor,रिसैप्टर
doorghatnaein,दुर्घटनाएँ
participants,पार्टिसिपेंट्स
gironde,गिरोंदे
pratikriyaashilataa,प्रतिक्रियाशीलता
carpentering,कारपेंटरिंग
kesuli,केसूली
khadkawadi,खड़कावाड़ी
shailar,शैलार
batgund,बाटगुंड
obstruction,ऑब्सट्रक्शन
visakhpatnam,विशाखापट्टणम
monumental,मॉन्युमेंटल
bahwala,बहवाला
baataayen,बातायें
bhattalollat,भट्टलोल्लट
sarkarankadun,सरकारांकडून
apariharyataon,अपरिहार्यताओं
anuyaayiyonke,अनुयायीयोंके
prashasanvirodhi,प्रशासनविरोधी
rupanwal,रूपनवाल
kentish,केंटिश
kinhain,किन्हें
dravila,द्रविल
cosed,कोस्ड
ghabaraao,घबराओ
kwamar,क्वामार
chhatpur,छतपुर
uthava,उठवा
lakkhuwala,लक्खूवाला
emiloid,एमीलॉयड
matawala,मटावाला
adtani,अड़तानी
doshiya,दोषिया
mauhallawar,मौहल्लावार
matoshreevareel,मातोश्रीवरील
fogal,फोगल
abhiram,अभिराम
bhavishtavani,भविष्टवाणी
jhujhakaana,झुझकाना
chitrasahaline,चित्रसहलीने
yojnayein,योजनायें
chlroine,क्लोरीन
tumentsetseg,तुमेंतसेत्सेग
whitepage,व्हाइटपेज
trata,ट्राटा
anmolak,अनमोलक
matolia,मटोलिया
inliximab,इनलिक्सीमेब
thakurpukud,ठाकुरपुकुड़
upatyakaon,उपत्यकाओं
oonchaee,ऊंचाई
kirilito,किरीलिटो
jalatirek,जलातिरेक
andhiyaaraa,अँधियारा
pahwal,पहवाल
dhruvganj,ध्रुवगंज
nitij,नितिज
kurkowiak,कुरकोवाइक
hammeed,हम्मीद
basco,बास्को
gramsachivalayachya,ग्रामसचिवालयाच्या
bhupinder,भूपेन्दर
bhaunsala,भौंसला
mahmatpur,महमतपुर
dyllan,डायलेन
joojhate,जूझते
bhoolanahin,भूलनहीं
nibharaha,निभारहा
nyayadhishanwar,न्यायाधीशांवर
tyanman,त्यानमान
zeldovich,ज़ेल्डोविच
lalrinawama,लालरीनावामा
deewaare,दीवारें
harsmint,हार्समिंट
korokida,कोरोकिदा
bhindarwale,भिंडरवाले
chichuk,चिचुक
jaffo,जाफो
gadyabhag,गद्यभाग
lvt,एलवीटी
sundaratam,सुंदरतम्
jinjiang,जिंजियांग
viraasatvaadi,विरासतवादी
amoma,अमोमा
replacements,रिप्लेसमेंट
osothankorn,ओसोथानकोर्न
swabhavikta,स्वभाविकता
chandivali,चांदीवली
rapuru,रापुरू
sashkul,सशकुल
khukhiyon,खुखियों
kanale,कनाले
kalikatha,कलीकथा
sahezataa,सहेज़ता
sarmalkar,सरमालकर
baukhalana,बौखलाना
harpoon,हार्पून
yashodanandan,यशोदानन्दन
jiabharali,जीभरली
kararnamyachi,करारनाम्याची
somasekhar,सोमशेखर
sunhil,सनहिल
microlitor,माइक्रोलीटर
kahalaatin,कहलातीं
tnqt,टीएनक्यूटी
satbunga,सतबुंगा
stockists,स्टाकिस्टों
sweethearts,स्वीटहर्ट्स
mantufacturing,मैन्चुफैक्चरिंग
mahastri,महास्त्री
saifullaah,सैफ़ुल्लाह
dharmashon,धर्मशों
ardhasainyabal,अर्धसैन्यबल
khaildar,खैलदार
sabhashastra,सभाशास्त्र
sinophonitta,सिनोफोनीट्टा
wartex,वॉर्टेक्स
haigluli,हइगुली
rohtani,रोहतानी
dekhtehue,देखतेहुए
amlaha,अमलाहा
aquarium,एक्वेरियम
donyetsk,दोन्येत्स्क
ugaahate,उगाहते
corana,कोराना
matrimonial,मैट्रीमोनियल
baabhale,बाभले
asthirataaen,अस्थिरताएँ
unicle,यूनिकल
sixes,सिक्सेज
nivarvirodh,निवर्विरोध
rackit,रैकिट
bakulwahi,बाकुलवाही
assertive,एसरटिव
prajaatantravaadi,प्रजातन्त्रवादी
kapela,कापेला
mikhil,मिखिल
naudan,नौदान
streplace,स्ट्रेप्लेस
nakano,नकानो
gaukadal,गौकादल
samayava,समयवा
thakura,ठाकुरा
kyaat,क्यात
astoli,अस्तोली
shringerimath,शृंगेरीमठ
colonoscope,कॉलोनोस्कोप
khutahi,खुटाही
salatane,सलटने
madkari,मदकारी
parmalakshya,परमलक्ष्य
vishishtikaran,विशिष्टिकरण
yamananagar,यमनानगर
pashtunkot,पश्तूनकोट
prashnottare,प्रश्नोत्तरे
narayanendra,नारायणेंद्र
sukin,सुकिन
aregui,अरेगुइ
bikherete,बिखेरेते
kayartavash,कायरतावश
prabodhanachi,प्रबोधनाची
formance,फार्मेंस
kujalleq,कुजलेक
rangakar,रंगाकर
dharmiktavadiyon,धार्मिकतावादियों
darshaataa,दर्शाता
kunjay,कुंजय
jumbrano,जम्ब्रानो
sajone,सजोने
padhuungaa,पढ़ूँगा
kitaabkhaanon,किताबखानों
dharmala,धर्माला
mansahari,मंसाहारी
chayankan,छायांकन
nirvasiton,निर्वासितों
indgro,इंडग्रो
canocking,केनोकिंग
madhunagari,मधुनगरी
kampaaniyon,कंपानियों
dorichya,दोरीच्या
husnapari,हुस्नपरी
machakati,मचकती
dakhaldaji,दखलदाजी
maajhaare,माझारे
giratesambhalate,गिरतेसंभलते
pakaai,पकाई
khadia,खाड़िया
utpidikon,उत्पीड़िकों
avadhimedical,अवधिमेडिकल
balgaha,बलगहा
abhiyantyache,अभियंत्याचे
vichhavaan,विछवां
sitakanta,शिताकान्ता
sahiram,सहिराम
nagrikar,नागरिकर
bebda,बेबड़ा
dasauli,दसौली
vaghaye,वाघाये
tamijhaaee,तमिझाई
chaudhariwali,चौधरीवाली
memoir,मेमोयर
ghinull,घिनोने
mikhil,मिखाइल
bugatti,ब्युगाटी
munkaddamen,मुंकद्दमें
okendan,ओकेंडन
transist,ट्रांजिस्ट
pcda,पीसीडीए
bhojiyon,भोजियों
cozumel,कोज़ूमल
diagnologist,डायग्नोलॉजिस्ट
baichaare,बैचारे
stelleto,स्टेलेटो
modinchyach,मोदींच्याच
bethakon,बैठकों
alagappan,अलागप्पन
likhil,लिखिल
conservatives,कंज़रवेटिव्स
haanfaney,हांफने
jhopadenuma,झोपड़ेनुमा
punu,पुनु
duada,दुआड़ा
sahakit,सहकित
biennale,बाईएनिअल
goljal,गोलजाल
ventical,वेंटिकल
sampradaayikataa,साम्प्रदायिकता
pumflets,पंफलेट्स
chuggagharon,चुग्गाघरों
thigade,थिगड़े
tarikki,तरिक्की
uberisation,उबराइज़ेशन
ubiquitin,यूबीक्युटिन
gopche,गोप्चे
palayur,पालायूर
bhagaitar,भगैतर
kolhapurvasini,कोल्हापुरवासिनी
mahinyaparyantach,महिन्यापर्यंतच
gulapari,गुलापारी
housekeeper,हाउस्कीपर
soybeans,सोयाबींस
aashvamedhika,आश्वमेधिक
yutukuru,युतुकुरु
mindworks,माइंडवर्क्स
bimvisar,बिम्विसार
devrukhat,देवरुखात
stog,स्टॉग
newells,नेवेल्स
hvaler,हवलर
modein,मोदें
kantikari,कांतिकारी
odhavalele,ओढावलेले
wankhade,वांखेड़े
karyama,कार्यमा
pavsanantar,पावसानंतर
nitiyonritiyon,नीतियोंरीतियों
tulabhar,तुलाभार
joraster,जोरास्टर
athimanoram,अतिमनोरम
bahualankrit,बहुअलंकृत
sukkhal,सुक्खल
aatarink,आतरिंक
tharanyas,ठरण्यास
adishe,आदिशे
shippage,शिपेज
taljungh,तालजंघ
sumsachar,सुमसाचार
jaivvividhta,जैवविविधता
innoven,इनोवेन
etimology,एटिमॉलॉजी
satyasaran,सत्यसरण
africans,अफ़्रीकी
hablani,हबलानी
charutva,चारुत्व
pachami,पचंमी
proudha,प्रौढ़ा
batamya,बातम्या
arthvan,अर्थवान्
davda,डावडा
maswar,मासवार
qanaujiya,क़नौजिया
fredericus,फ्रेडेरिकस
emmanue,इमेन्यू
baweja,बवेजा
gariyaae,गरियाए
satinder,जीतेंद्र
balasinor,बालसीनोर
itcl,आईटीसीएल
karabakh,काराबाख़
hotz,हॉट्ज
charanchampan,चरणचंपन
interferences,इंटरफेरेन्स
samochan,समोचन
aatmahatyaane,आत्महत्याने
saljekic,सालजेकिक
bilasandarbhat,बिलासंदर्भात
kalirana,कालीराणा
revadya,रेवड्या
mausek,मौसेक
sulwan,सुलवान
shahabuddin,शहाबुदीन
parametry,पैरामेट्री
jafiri,जाफिरी
advertzisement,एडवर्टजाइजमेंट
dikho,दिखो
dhaularai,धौलाराय
kumardangal,कुमारदंगल
venugapal,वेणुगापाल
pramaanapa,प्रमाणपा
biklul,बिक्लुल
requirement,रिकुआयरमेंट
pudjana,पुडजाना
tihani,तिहानी
bettermann,बेटरमन
eksamuh,एकसमूह
visaavate,विसावते
pleacentime,प्लीसेंटाइम
chinnamaneni,चिन्नमनेनी
stepis,स्टेपीज
shijin,शीजिन
bhandol,भंडोल
madhukand,मधुकांड
gajbiye,गजबिये
shivakumaran,शिवकुमारन
tthal,ठअल्
gymrastic,जिम्रास्टिक
sustainable,सस्टेनेबुल
veejaake,वीजाके
kaivalya,कैवल्य
dhokaan,ढोकां
torimal,तोरीमल
woodwick,वुडविक
avichai,अविचाई
draxis,ड्रैक्सिस
batsy,बैट्सी
gandhinchi,गांधींची
naighat,नाईघाट
charayala,चारायला
aajaaein,आजाएं
abhilashao,अभिलाषाओं
shimpewadi,शिंपेवाडी
matlaab,मतलाब
nayanpura,नयनपुरा
minera,माइनेरा
aijs,एआईजएस
madhyadpradesh,मध्यदप्रदेश
brazensb,ब्रेजेंस्ब
manmohak,मनमोहक
bandhugi,बांधुगी
jhankaarte,झनकारते
suhajana,सुहजना
sambhajirajanchya,संभाजीराजांच्या
dharmishta,धर्मिष्टा
ridan,रिदान
angang,एंगेंग
chortaat,चोरतात
nivasialampur,निवासीआलमपुर
polytecric,पालिटेक्रिक
soosairaj,सोजाईराज
cartoons,कार्टून्स
patrapreshak,पत्रप्रेषक
smartkid,स्मार्टकिड
hafootball,हैफ़ुटबॉल
shaasan,षासन
dhantal,धनतल
shivkesh,शिवकेश
kitabkhane,किताबखाने
sheetalpal,शीतलपाल
matvaalaa,मतवाला
delphi,डेल्फिक
pulaur,पुलौर
coordiceps,कोर्डीसेप्स
botanic,बोटानिक
nagarpanchayatichyavatine,नगरपंचायतीच्यावतीने
stansifer,स्टैनसिफर
ashte,अष्टे
budka,बुड़का
savidhar,सविधार
condenser,कंडेन्सर
namaskaram,नमस्कारम
merchantile,मर्चेंटाइल
rufaiya,रुफैया
nokarbharatisathi,नोकरभरतीसाठी
trauvidya,त्रौविद्य
zincum,जिंकम
jyala,जियाला
maanochit,मानोचित
thirthira,थिरथिरा
psychological,साइकॉलाजिकल
akbarki,अकबरकी
drishtikshin,दृष्टिक्षीण
jamge,जमगे
taddevo,तद्देवो
churat,चुरत
mambetiyon,मांबेटियों
nagardar,नगरदार
sambandhij,संबंधिज
khandobakadun,खंडोबाकडून
salamati,सलामती
padukonke,पादुकोणके
andarshaili,अंदरशैली
chandrabedhi,चंद्रबेधी
gatividhiyukt,गतिविधियुक्त
anusuiya,अनुसुइया
vrindavanlal,वृन्दावनलाल
gisin,जीसिन
swadupindashi,स्वादूपिंडाशी
gundumala,गुंडुमाला
yusufi,यूसुफ़ी
phooladaan,फूलदान
jatipraman,जातिप्रमाण
elegante,एलेगेंट
sansthanchyavatine,संस्थानच्यावतीने
dassie,डैसी
jadhavur,जाधवुर
bipro,बिप्रो
bhangarvalyankadun,भंगारवाल्यांकडून
jackets,जैकेट्स
malkinder,मलकिंद्र
saaste,सासते
yatee,यती
carberization,कार्बराइजेशन
ehtemal,एहतेमाल
suchha,सुचा
majili,मजिली
devpuri,देवपुरी
jennifer,जैनीफर
indecus,इंडेकस
sarvajaati,सर्वजाती
ghevarram,घेवरराम
nishkarshapurna,निष्कर्षपूर्ण
lagesi,लगेसी
charaj,चरज
dindoshi,दिनदोशी
sweetwillium,स्वीटविलियम
dhurre,धुर्रे
palaeogenetics,पैलोजेनेटिक्स
chikitsalayon,चिकित्सलायों
khuntila,खुंटीला
khalilzad,ख़लीलज़ाद
vaande,वांदे
kusalakshem,कुसलक्षेम
quotation,कुटेशन
sayla,सायला
sabdeshi,सबदेशी
adharavar,अधारावर
sleepwear,स्लीपवियर
ghumaaogi,घुमाओगी
michka,मिचका
hwange,ह्वांगो
angrezparast,अंग्रेज़परस्त
badhol,बढोल
kishen,किशन
hiyal,हियाल
cassin,कैसिन
kutiyaon,कुटियाओं
sagarmalji,सागरमलजी
bastoy,बसतोय
kitabo,किताबो
sangrodi,संगरोड़ी
appirio,एप्पीरियो
duvindu,दुविंदु
pavlelyanche,पावलेल्यांचे
godeche,गोदेचे
longitude,लॉन्गिट्यूड
lukinov,लुकिनोव
manoka,मनोका
ormskirk,अर्म्सकिर्क
aabhay,आभय
mercier,मेर्सिएर
chaloge,चलोगे
gairsamjhauta,गैरसमझौता
abhuaane,अभुआने
bhasmasurane,भस्मासुराने
sabalov,सबालोव
jheelen,झीलें
bishroiyan,बिश्रोइयां
katiyal,कात्याल
keve,केवे
jhaadimyon,झाडिम्यों
agninayak,अग्निनायक
hoskote,होसाकोटे
syncles,सिंकल्स
sankari,सँकरी
padukona,पादुकोणा
falsarvaroop,फलसर्वरूप
khanchhattisgarh,खानछत्तीसगढ़
consistency,कन्सिस्टेंसी
losarton,लोसार्टन
jhonging,झोंगिंग
rojpur,रोजपुर
margadarshani,मार्गदर्शनी
swatantar,स्वतंतर
jerwal,जेरवाल
babaili,बबैली
atmahatyakand,आत्महत्याकांड
antipiracy,एंटीपायरसी
shatpushpadi,शतपुष्पादि
jhonala,झोनला
shakhpushpi,शखपुष्पी
raktwahikaon,रक्तवाहिकाओं
shaftesbury,शाफ्ट्सबरी
gulgodi,गुलगोडी
expedition,एक्सपदीशन
dasharathasut,दशरथसुत
mridsandharan,मृदसंधारण
subarati,सुबराती
palekar,पालेकर
khyaalat,ख्यालत
openal,ओपनल
saungra,सौंगरा
madrigal,मैड्रिगल
rituke,ऋतुके
ernesto,एर्नेस्ट
jagmohanlaal,जगमोहनलाल
triplemax,ट्रिपलमैक्स
rhyncho,राइनचो
mopal,मोपल
marimuthu,मारिमुथु
frenchal,फ्रेंचल
checksum,चेकसम
privately,प्राइवेट्ली
ukhadenge,उखड़ेंगे
anjaani,अन्जानी
baptiste,बप्तिस्त
dissenia,डिसेनिया
mukhaane,मुखाने
propension,प्रोपेंसन
pohochavilyane,पोहोचविल्याने
usmanwala,उसमानवाला
galaghotu,गलाघोटू
papulen,पापुलेन
sukadi,सुकड़ी
karyakshetratahi,कार्यक्षेत्रातही
cabrell,कैब्रेल
parvonka,पर्वोंका
shortening,शार्टनिंग
beers,बियर्स
bangladeshchi,बांगलादेशची
mcgaffin,मैकगफिन
novas,नोवास
coking,कुकिंग
nirma,निर्मा
povarchya,पोवारच्या
cosmopolitan,कोस्मोपॉलिटन
srebotnic,स्रेबोट्निक
unva,यूएनवीए
sumariwalla,सुमारिवाला
prajapit,प्रजापित
shahinbagh,शाहीनबाग़
raizada,रायज़ादा
siring,सेरिंग
tramplean,ट्रैम्पलीन
chhenaani,छेनानी
muktiram,मुक्तिराम
nakshatri,नक्षत्री
heliosith,हीलिओसिथ
undiclear,अनडिक्लिअर
estero,एस्टेरो
railrath,रेलरथ
comress,कॉमरेस
fardaha,फरदहा
malakvargane,मालकवर्गाने
taqaleed,तक़लीद
balasubramaniam,बालसुब्रहमण्यम
vandanoparant,वन्दनोपरांत
vadule,वडुले
saimul,सैम्युएल
chudachandpur,चूड़ाचांदपुर
saansado,सांसदों
eurovision,यूरोविजन
faujdarkichya,फौजदारकीच्या
deykanusar,देयकानुसार
aadhyaapak,आध्यापक
theomatone,थियोमेटोन
ukerey,उकेरे
vernacular,वार्नाक्यूलर
sheshang,शेशांग
onars,ओनर्स
muffeins,मफीन्स
vaidushyamani,वैदुष्यमणि
daheene,दहीने
baanaye,बानये
anugyaat,अनुज्ञात
pavitraropan,पवित्रारोपण
abn,एबीएन
costanzo,कोस्टान्जो
darodapratibandhak,दरोडाप्रतिबंधक
hadis,हदीस
praghanacharya,प्रघानाचार्य
postrait,पोस्ट्रेट
aaplogon,आपलोगों
ravpur,रावपुर
activivities,गतिविविधियों
armeniaca,आर्मेनियाका
